time,temperature
2023-01-01 00:17:01,22.1
2023-01-01 00:19:03,22.9
2023-01-01 00:41:58,22.9
2023-01-01 00:43:16,21.9
2023-01-01 01:04:53,22.9
2023-01-01 01:09:10,22.1
2023-01-01 01:27:47,22.9
2023-01-01 01:35:02,22.1
2023-01-01 01:50:42,22.9
2023-01-01 02:00:54,22.1
2023-01-01 02:13:37,22.9
2023-01-01 02:26:48,22.1
2023-01-01 02:36:31,22.9
2023-01-01 02:52:43,22.1
2023-01-01 02:59:26,22.9
2023-01-01 03:18:57,21.9
2023-01-01 03:37:34,22.9
2023-01-01 03:44:50,22.1
2023-01-01 04:00:29,22.9
2023-01-01 04:10:42,22.1
2023-01-01 04:23:24,22.9
2023-01-01 04:36:36,22.1
2023-01-01 04:46:19,22.9
2023-01-01 05:02:31,22.1
2023-01-01 05:09:13,22.9
2023-01-01 05:28:46,21.8
2023-01-01 05:32:08,22.9
2023-01-01 05:54:42,22.0
2023-01-01 05:55:03,22.8
2023-01-01 06:17:57,22.8
2023-01-01 06:20:36,22.0
2023-01-01 06:40:52,22.8
2023-01-01 06:46:33,22.0
2023-01-01 07:03:46,22.8
2023-01-01 07:12:45,21.8
2023-01-01 07:26:41,22.8
2023-01-01 07:38:41,21.9
2023-01-01 07:49:36,22.8
2023-01-01 08:04:35,22.0
2023-01-01 08:12:32,22.8
2023-01-01 08:30:30,22.0
2023-01-01 08:35:25,22.8
2023-01-01 08:56:45,21.8
2023-01-01 08:58:20,22.8
2023-01-01 09:21:14,22.9
2023-01-01 09:23:01,21.8
2023-01-01 09:44:09,22.9
2023-01-01 09:48:56,22.0
2023-01-01 10:07:04,22.9
2023-01-01 10:14:50,22.0
2023-01-01 10:29:58,22.9
2023-01-01 10:40:40,22.1
2023-01-01 10:52:53,22.8
2023-01-01 11:06:35,22.0
2023-01-01 11:15:47,22.8
2023-01-01 11:32:29,22.0
2023-01-01 11:38:43,22.8
2023-01-01 11:58:24,22.0
2023-01-01 12:01:37,22.8
2023-01-01 12:24:32,22.8
2023-01-01 12:24:39,21.8
2023-01-01 12:47:26,22.8
2023-01-01 12:50:36,21.9
2023-01-01 13:10:21,22.8
2023-01-01 13:16:32,22.0
2023-01-01 13:33:16,22.8
2023-01-01 13:33:31,22.8
2023-01-01 13:42:47,21.7
2023-01-01 13:56:10,22.8
2023-01-01 14:08:40,22.0
2023-01-01 14:19:05,22.8
2023-01-01 14:34:33,22.0
2023-01-01 14:42:00,22.8
2023-01-01 15:00:28,22.0
2023-01-01 15:04:54,22.8
2023-01-01 15:26:24,22.0
2023-01-01 15:27:49,22.9
2023-01-01 15:50:44,22.9
2023-01-01 15:52:38,21.8
2023-01-01 16:13:39,22.9
2023-01-01 16:18:32,22.0
2023-01-01 16:36:33,22.9
2023-01-01 16:44:27,22.0
2023-01-01 16:59:28,22.9
2023-01-01 17:10:21,22.0
2023-01-01 17:22:23,22.8
2023-01-01 17:36:15,22.0
2023-01-01 17:45:17,22.8
2023-01-01 18:02:07,22.0
2023-01-01 18:08:12,22.8
2023-01-01 18:28:02,22.0
2023-01-01 18:31:07,22.8
